KinkyDungeonCredits,크레딧
RestraintLeatherAnkleCuffs3Desc,발을 단단히 묶는 수갑.
KinkyDungeonUnLinkWardenAnkleCuffs3,발목 커프스 체인이 풀린다!
KinkyDungeonUnLinkObsidianAnkleCuffs3,발목 커프스 체인이 풀린다!
KinkyDungeonUnLinkBlacksteelAnkleCuffs3,발목 커프스 체인이 풀린다!
KinkyDungeonUnLinkIceAnkleCuffs3,발목 커프스 체인이 풀린다!
KinkyDungeonUnLinkCrystalAnkleCuffs3,발목 커프스 체인이 풀린다!
KinkyDungeonUnLinkLeatherAnkleCuffs3,발목 커프스 체인이 풀린다!
KinkyDungeonUnLinkMithrilAnkleCuffs3,발목 커프스 체인이 풀린다!
KinkyDungeonUnLinkScaleAnkleCuffs3,발목 커프스 체인이 풀린다!
RestraintLeatherLivingCollar,살아있는 가죽 목걸이
RestraintLeatherLivingCollarDesc,단단한 가죽으로 만들어져 목에 맞춰 조절되는 목걸이.
RestraintLeatherLivingCollarDesc2,가끔 가죽이 허공에서 나타나 착용자를 묶게 됩니다. 가죽의 양에 따라 속도가 증가합니다.
RestraintLeatherArmCuffs,가죽 커프스
RestraintLeatherArmCuffsDesc2,단단한 가죽으로 만들어졌습니다.
RestraintLeatherLegCuffs2Desc2,단단한 가죽으로 만들어졌습니다.
RestraintLeatherArmCuffs3Desc2,단단한 가죽으로 만들어졌습니다.
RestraintLeatherLegCuffsDesc2,단단한 가죽으로 만들어졌습니다.
RestraintLeatherArmCuffs2Desc2,단단한 가죽으로 만들어졌습니다.
RestraintLeatherAnkleCuffs3Desc2,단단한 가죽으로 만들어졌습니다.
RestraintLeatherAnkleCuffs2Desc2,단단한 가죽으로 만들어졌습니다.
RestraintLeatherArmCuffs4Desc2,단단한 가죽으로 만들어졌습니다.
RestraintLeatherAnkleCuffsDesc2,단단한 가죽으로 만들어졌습니다.
RestraintLeatherLegCuffs,가죽 다리 커프스
RestraintLeatherAnkleCuffs,가죽 발목 커프스
RestraintStickySlime,끈적 끈적한 점액
RestraintStickySlimeDesc,당신을 땅에 고정시켜주는 끈적끈적한 점액층.
RestraintStickySlimeDesc2,한 턴 동안 속도가 느려집니다.
RestraintTrapMittens,가죽 장갑
RestraintTrapMittensDesc,당신의 손을 감싸는 꽉 끼는 가죽 벙어리장갑.
RestraintTrapMittensDesc2,그것들은 열쇠와 도구를 조작하는 것을 거의 불가능하게 만듭니다. 손을 조심하세요!
RestraintTrapLegbinder,가죽 레그 바인더
RestraintTrapLegbinderDesc,당신의 발을 서로에 고정시켜주는 타이트한 가죽 레그 바인더.
RestraintTrapLegbinderDesc2,매우 아늑하고 끈은 ​​잠글 수 있는 패널로 고정되어 있습니다. 끈에 접근하려면 자물쇠를 선택해야 합니다.
RestraintTrapArmbinder,가죽 암바인더
RestraintTrapArmbinderDesc,손과 팔을 완전히 감싸는 타이트한 가죽 암바인더.
RestraintTrapBoxbinderDesc2,매우 아늑하고 뒷면에 ​​잠글 수 있는 버클로 고정되어 있습니다. 자물쇠를 직접 따는 것은 불가능합니다.
RestraintTrapArmbinderDesc2,매우 아늑하고 뒷면에 ​​잠글 수 있는 버클로 고정되어 있습니다. 자물쇠를 직접 따는 것은 불가능합니다.
RestraintTrapBoxbinder,가죽 상자 바인더
RestraintTrapBoxbinderDesc,장기간 착용을 위한 안전하면서도 편안한 바인더입니다.
RestraintLatexBoxbinderDesc,장기간 착용을 위한 안전하면서도 편안한 바인더입니다.
RestraintTrapArmbinderHarness,가죽 암바인더 하네스
RestraintTrapArmbinderHarnessDesc,당신의 암바인더를 단단히 고정시키는 가죽 벨트.
RestraintTrapArmbinderHarnessDesc2,아주 빡빡하고 옆구리에 잠글 수 있는 버클로 고정되어 있습니다.
KinkyDungeonRemoveArmbinderHarness,암바인더 하네스는 암바인더와 함께 분리됩니다.
KinkyDungeonRemoveCuffsCyberAnkleCuffs,발목 수갑 사이의 에너지 연결이 끊어집니다.
KinkyDungeonRemoveCuffsCyberWristCuffs,팔꿈치 사이의 에너지 링크가 소멸됩니다.
KinkyDungeonRemoveCuffsCyberLegCuffs,허벅지 수갑 사이의 에너지 연결이 끊어집니다.
KinkyDungeonRemoveCuffs,커프 체인은 커프와 함께 분리됩니다.
KinkyDungeonRemoveBelt,벨트와 함께 허리 링크가 분리됩니다.
KinkyDungeonRemoveHogtie,창녀 링크가 분리됩니다.
RestraintTrapCuffs,수갑
RestraintTrapCuffsDesc,손목에 단단히 고정된 강철 수갑. 인벤토리 또는 핫바에서 목표를 지정하면 취약한 대상에 적용할 수 있습니다.
RestraintTrapLegironsDesc2,자물쇠는 그다지 복잡해 보이지 않습니다.
RestraintTrapCuffsDesc2,자물쇠는 그다지 복잡해 보이지 않습니다.
RestraintTrapYoke,스틸 요크
RestraintTrapYokeDesc,손목과 목에 단단히 조여 무기력한 위치에 놓이게 하는 강철 막대입니다.
RestraintTrapYokeDesc2,어색한 자세 때문에 혼자서 빠져나오기가 어렵습니다.
RestraintHeavyYokeDesc2,어색한 자세 때문에 혼자서 빠져나오기가 어렵습니다.
RestraintHeavyYoke,무거운 멍에
RestraintHeavyYokeDesc,"정밀한 기계 가공으로 잘린 갑옷 등급 플레이트 시리즈로, 목과 손목 주위에 단단히 고정되는 깨지지 않는 레이어에 끼워져 있습니다."
RestraintTrapFiddle,강철 바이올린
RestraintTrapFiddleDesc,당신의 손을 어색하고 복종적인 자세로 유지하는 강철 고정 장치.
RestraintTrapFiddleDesc2,어색한 위치 때문에 자물쇠에 쉽게 접근할 수 없습니다.
RestraintTrapHarness,가죽 하네스
RestraintTrapHarnessDesc,몸통에 버클을 채운 꽉 조이는 끈으로 된 가죽 하네스입니다.
RestraintTrapHarnessDesc2,적들이 붙잡을 수 있는 닻을 제공합니다!
RestraintPVCHarness,고무 하네스
RestraintPVCHarnessDesc,대부분의 용제와 부식에 강한 라텍스 폴리머 하네스.
RestraintPVCHarnessDesc2,하루 종일 착용 가능! 소지하기도 편리합니다.
RestraintTrapGag,볼 개그
RestraintTrapGagDesc,빨간색 스퀴시 재질로 만든 개그. 취약한 대상이나 전반적으로 반사적인 주문을 거친 대상에게 절반의 힘으로 적용할 수 있습니다.
RestraintTrapGagDesc2,이렇게 입력하면 주문을 제대로 발음할 수 없는 것 같습니다.
RestraintMagicGagDesc2,이렇게 입력하면 주문을 제대로 발음할 수 없는 것 같습니다.
RestraintTrapGagLargeDesc2,이렇게 입력하면 주문을 제대로 발음할 수 없는 것 같습니다.
RestraintTrapGagLarge,대형 볼 개그
RestraintTrapGagLargeDesc,붉은 스퀴시 재질로 만든 입안 가득 씹는 덩어리. 취약한 대상이나 전반적으로 마법 주문을 시전한 대상에게 절반의 힘으로 적용할 수 있습니다.
RestraintMagicGag,타이트 볼 개그
RestraintMagicGagDesc,"빨간색 스퀴시 재질로 만든 개그로, 최대한 꽉 묶었습니다. 취약한 대상이나 전반적으로 말 주문을 시전한 대상에게 반강도로 적용할 수 있습니다."
RestraintMagicGagLarge,거대한 볼 개그
RestraintMagicGagLargeDesc,"빨간색 스퀴시 재질로 만든 거대한 개그로, 최대한 꽉 조여졌습니다. 취약한 대상이나 전반적으로 절반의 힘으로 마지막 턴에 주문을 걸었던 사람에게 적용할 수 있습니다."
RestraintMagicGagLargeDesc2,이렇게 입력하면 주문을 제대로 발음할 수 없습니다.
RestraintMagicGag2,매직 볼 개그
RestraintMagicGag2Desc,마법이 부여된 개그. 입이 떡 벌어질 정도로 커져서 말을 하기 힘들 정도가 됩니다. 취약한 대상이나 지난 턴에 주문을 거는 대상에게 반강도로 적용할 수 있습니다.
RestraintMagicGag2Desc2,창조된 에너지로 가득 차 있습니다. 일반 나이프는 여기서 작동하지 않습니다!
RestraintAntiMagicGag,반마법 개그
RestraintAntiMagicGagDesc,마법사를 불구로 만들도록 설계된 재갈입니다. 부드러운 고무 재질로 되어 있습니다.
RestraintAntiMagicGagDesc2,마나가 빠르게 흡수되는 마법으로 봉인되어 있습니다! 마나를 40개 소모하면 일반 개그로 변하여 팽창합니다.
RestraintAntiMagicGag2,반마법사 개그
RestraintAntiMagicGag2Desc,경험 많은 주문 캐스터를 마비시키기 위해 고안된 재갈입니다. 마법을 흡수하는 고무로 만들어졌습니다.
RestraintAntiMagicGag2Desc2,당신은 당신에게서 에너지가 흘러나가는 것을 느낍니다! 그것이 100마나를 소모하면 평범한 개그로 변하여 팽창합니다.
RestraintTrapBoots,발레 힐
RestraintTrapBootsDesc,높은 굽이 있는 신발 한 켤레는 발가락에 힘을 줍니다.
RestraintTrainingHeelsDesc2,익숙해지는 데 시간이 좀 걸릴 것입니다.
RestraintTrapBootsDesc2,익숙해지는 데 시간이 좀 걸릴 것입니다.
RestraintTrainingHeels,트레이닝 힐
RestraintTrainingHeelsDesc,개인적으로 소유한 비정상적으로 높은 굽.
RestraintTrapLegirons,레그 아이언
RestraintTrapLegironsDesc,어쩔 수 없이 발목을 연결하는 단단한 강철 수갑.
m_FashionKittyPetBlindfoldPanelStitched_l_Blindfold,눈가리개
RestraintTrapBlindfold,눈가리개
m_FashionKittyPetBlindfoldPanel_l_Blindfold,눈가리개
m_FashionHighSecBlindfold_l_Blindfold,눈가리개
m_FashionBlindfoldLeather_l_Blindfold,눈가리개
m_KittyBlindfold_l_Blindfold,눈가리개
m_BlindfoldLeather_l_Blindfold,눈가리개
m_KittyPetBlindfold_l_Blindfold,눈가리개
m_FashionKittyPetBlindfoldStrap_l_Blindfold,눈가리개
m_LeatherHood_l_Blindfold,눈가리개
m_BlindfoldBasic_l_Blindfold,눈가리개
m_KittyPetHarnessBlindfold_l_Blindfold,눈가리개
m_FashionKittyBlindfold_l_Blindfold,눈가리개
m_KittyPetBlindfoldPanel_l_Blindfold,눈가리개
m_KittyPetBlindfoldStitched_l_Blindfold,눈가리개
KDBindNPCSlot_OuterHead,눈가리개
m_KittyPetBlindfoldStrap_l_Blindfold,눈가리개
m_FashionBlindfoldBasic_l_Blindfold,눈가리개
m_FashionLeatherHood_l_Blindfold,눈가리개
m_FashionKittyPetBlindfoldStitched_l_Blindfold,눈가리개
RestraintScarfBlindfold,눈가리개
m_LeatherMask_l_Blindfold,눈가리개
m_HarnessBlindfold_l_Blindfold,눈가리개
m_FashionKittyPetBlindfold_l_Blindfold,눈가리개
m_KittyPetBlindfoldPanelStitched_l_Blindfold,눈가리개
m_FashionKittyPetHarnessBlindfold_l_Blindfold,눈가리개
KDBindNPCSlot_InterHead,눈가리개
m_HighSecBlindfold_l_Blindfold,눈가리개
m_FashionLeatherMask_l_Blindfold,눈가리개
m_HighSecBlindfoldRestraint_l_Blindfold,눈가리개
m_FashionHarnessBlindfold_l_Blindfold,눈가리개
RestraintClothBlindfold,눈가리개
RestraintTrapBlindfoldDesc,얼굴에 고정되어 시야를 차단하는 가죽 끈.
RestraintClothBlindfoldDesc2,당신은 여전히 ​​코 주위의 틈을 통해 볼 수 있습니다.
RestraintTrapBlindfoldDesc2,당신은 여전히 ​​코 주위의 틈을 통해 볼 수 있습니다.
RestraintScarfBlindfoldDesc2,당신은 여전히 ​​코 주위의 틈을 통해 볼 수 있습니다.
RestraintHighsecBlindfold,보안이 철저한 눈가리개
RestraintHighsecBlindfoldDesc,턱 하네스는 이 가죽 눈가리개를 얼굴에 단단히 당깁니다.
RestraintHighsecBlindfoldDesc2,완전 암흑. 질긴 가죽은 리벳으로 보강되어 있습니다.
RestraintMasterworkBlindfold,마스터 블라인드
RestraintMasterworkBlindfoldDesc,턱 하네스는 눈가리개를 얼굴에 단단히 밀착시켜 완전 암흑 상태를 유지하도록 합니다.
RestraintMasterworkCollarDesc2,부드러운 질감에도 불구하고 이 가죽은 거의 깨지지 않는 섬유로 강화되어 있어 대부분의 절단 도구를 막고 있습니다. 잠금 메커니즘에는 연결 포인트가 4개 더 있습니다.
RestraintMasterworkGlovesDesc2,부드러운 질감에도 불구하고 이 가죽은 거의 깨지지 않는 섬유로 강화되어 있어 대부분의 절단 도구를 막고 있습니다. 잠금 메커니즘에는 연결 포인트가 4개 더 있습니다.
RestraintMasterworkCorsetDesc2,부드러운 질감에도 불구하고 이 가죽은 거의 깨지지 않는 섬유로 강화되어 있어 대부분의 절단 도구를 막고 있습니다. 잠금 메커니즘에는 연결 포인트가 4개 더 있습니다.
RestraintMasterworkBlindfoldDesc2,부드러운 질감에도 불구하고 이 가죽은 거의 깨지지 않는 섬유로 강화되어 있어 대부분의 절단 도구를 막고 있습니다. 잠금 메커니즘에는 연결 포인트가 4개 더 있습니다.
RestraintMasterworkHeelsDesc2,부드러운 질감에도 불구하고 이 가죽은 거의 깨지지 않는 섬유로 강화되어 있어 대부분의 절단 도구를 막고 있습니다. 잠금 메커니즘에는 연결 포인트가 4개 더 있습니다.
RestraintMasterworkCorset,마스터워크 코르셋
RestraintMasterworkCorsetDesc,다른 구속 장치에 대한 연결 지점을 갖춘 몸을 감싸는 금속 뼈 코르셋입니다. 끊임없는 압박으로 인해 호흡이 짧아집니다.
RestraintMasterworkHeels,마스터워크 발레 힐
RestraintMasterworkHeelsDesc,엄격한 보행 자세로 착용자를 강요하는 타협하지 않는 발레 힐 세트입니다. 훈련된 복종자만 이 신발을 신어도 넘어지지 않습니다!
RestraintMasterworkGloves,마스터워크 장갑
RestraintMasterworkGlovesDesc,재치(Dexterity)를 다소 감소시키는 제한적인 장갑 세트입니다. 정확도를 20% 감소시킵니다.
RestraintMasterworkCollar,대작 목걸이
RestraintMasterworkCollarDesc,유명한 대장장이 Ada Lovelock이 손으로 만들고 서명한 목걸이. 착용자를 점점 더 조여주는 다섯 조각 세트의 정점입니다.
RestraintMagicBelt,마법의 정조대
RestraintMagicBeltDesc,마법의 봉인으로 보호되는 벨트.
RestraintMagicBeltDesc2,"방패는 새로운 장난감을 받기 위해 열리지만, 그것들을 내보내지는 않을 것입니다..."
RestraintTrapBeltDesc2,"방패는 새로운 장난감을 받기 위해 열리지만, 그것들을 내보내지는 않을 것입니다..."
RestraintTrapBelt,강철 순결 벨트
RestraintBlacksteelBeltDesc,마법 진동기를 제자리에 고정하는 데 사용되는 잔인한 장치입니다.
RestraintSteelBeltDesc,마법 진동기를 제자리에 고정하는 데 사용되는 잔인한 장치입니다.
RestraintTrapBelt2Desc,마법 진동기를 제자리에 고정하는 데 사용되는 잔인한 장치입니다.
RestraintTrapBeltDesc,마법 진동기를 제자리에 고정하는 데 사용되는 잔인한 장치입니다.
RestraintBlacksteelBelt,블랙스틸 벨트
RestraintBlacksteelBeltDesc2,블랙스틸은 올드 문명이 사용하는 금속입니다. 긁기는 커녕 자르기도 매우 어렵습니다.
RestraintBlacksteelWBeltDesc2,블랙스틸은 올드 문명이 사용하는 금속입니다. 긁기는 커녕 자르기도 매우 어렵습니다.
RestraintBlacksteelBraDesc2,블랙스틸은 올드 문명이 사용하는 금속입니다. 긁기는 커녕 자르기도 매우 어렵습니다.
RestraintBlacksteelWBelt,블랙스틸 웨이스트 벨트
RestraintSteelWBeltDesc,링크를 위한 고정점을 제공하는 장치입니다. 스스로 구속하지는 않지만 포로의 손을 보호하는 데 유용합니다.
RestraintBlacksteelWBeltDesc,링크를 위한 고정점을 제공하는 장치입니다. 스스로 구속하지는 않지만 포로의 손을 보호하는 데 유용합니다.
RestraintBlacksteelBra,블랙스틸 브래지어
RestraintTrapBra2Desc,마법 안마기를 제자리에 고정시키는 잔인한 장치입니다.
RestraintBlacksteelBraDesc,마법 안마기를 제자리에 고정시키는 잔인한 장치입니다.
RestraintSteelBraDesc,마법 안마기를 제자리에 고정시키는 잔인한 장치입니다.
RestraintTrapBraDesc,마법 안마기를 제자리에 고정시키는 잔인한 장치입니다.
RestraintSteelBelt,스틸 벨트
RestraintSteelWBeltDesc2,강철로 되어 있어 단단하고 안전합니다.
RestraintSteelBeltDesc2,강철로 되어 있어 단단하고 안전합니다.
RestraintSteelBraDesc2,강철로 되어 있어 단단하고 안전합니다.
RestraintSteelWBelt,스틸 웨이스트 벨트
RestraintSteelBra,스틸 브라
RestraintTrapBeltProto,프로토타입 벨트
RestraintTrapBeltProtoDesc,알 수 없는 기술을 사용하여 만든 이상한 장치입니다.
RestraintTrapBeltProtoDesc2,"자물쇠는 매우 고급스럽고, 바닥에 있는 구멍은 장난감을 쉽게 넣을 수 있지만 빼지는 못합니다..."
RestraintTrapBra,스틸 순결 브래지어
RestraintTrapBraDesc2,"던전의 작은 저주를 막지는 못하겠지만, 당신이 그것들을 제거하지 못하게 할 것입니다."
RestraintTrapBelt2,화려한 정조대
RestraintTrapBelt2Desc2,시간이 지나면 마법이 풀릴 때까지 자물쇠는 풀리지 않을 거야...
RestraintTrapBra2Desc2,시간이 지나면 마법이 풀릴 때까지 자물쇠는 풀리지 않을 거야...
RestraintTrapBra2,화려한 순결 브래지어
RestraintMaidCBelt,메이드 정조대
RestraintMaidCBeltDesc,입회 시녀를 통제하기 위해 사용하는 정조대.
RestraintMaidCBeltDesc2,단단한 강철로 만들어졌습니다. 자물쇠는 보안 수준이 높습니다.
RestraintTrapVibe,매직 에그
RestraintTrapVibeDesc,당신을 놀리는 것을 좋아하는 에너지 넘치는 작은 친구.
RestraintTrapVibeDesc2,주문에서 남은 마나에서 충전됩니다. 유형: 놀리기
RestraintTrapVibeProto,프로토타입 에그
RestraintTrapVibeProtoDesc,주기적으로 진동하는 티저.
RestraintTrapVibeProtoDesc2,"높은 효율의 마나 변환은 더 긴 놀림 시간으로 이어집니다. 유형: 놀림, 쾌락, 가장자리"
RestraintTrapPlug,진동 플러그
RestraintTrapPlugDesc,당신을 행복하게 만드는 상당한 플러그... 조금은 너무 행복합니다.
RestraintTrapPlugDesc2,주기적으로 진동하며 이동할 때 주의를 분산시킵니다. 유형: 쾌락
RestraintTrapPlug2,티저 플러그
RestraintTrapPlug2Desc,당신을 놀리지만 절대 놓지 않는 큰 플러그...
RestraintTrapPlug2Desc2,"주기적으로 약하게 진동합니다. 유형: 놀림, 거부"
RestraintTrapPlug3,토먼트 플러그
RestraintTrapPlug3Desc,당신의 삶을 참을 수 없을 정도로 즐겁게 만들어 줄 커다란 플러그...
RestraintTrapPlug4Desc,당신의 삶을 참을 수 없을 정도로 즐겁게 만들어 줄 커다란 플러그...
RestraintTrapPlug3Desc2,주기적으로 강하게 진동하며 거부 설정이 있습니다. 유형: 거부
RestraintTrapPlug4,천둥 플러그
RestraintTrapPlug4Desc2,"할 수 있을 때 즐기세요. 유형: 쾌락, 가장자리"
RestraintTrapPlug5,인텐시브 트레이닝 플러그
RestraintTrapPlug5Desc,당신의 삶을 참을 수 없을 정도로 즐겁게 만들어 줄 에너지 넘치는 플러그...
